tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
35,cust_11,True,Tue Oct 10 20:00:00 +0000 2017,"@SpotifyCares Music keeps pausing automatically every 30 seconds on iOS 11.",36,
36,SpotifyCares,False,Tue Oct 10 20:05:00 +0000 2017,"@cust_11 Hi! Try performing a clean reinstall of the app and checking your battery saver settings.",,35
37,cust_12,True,Tue Oct 10 21:00:00 +0000 2017,"@Uber_Support My driver took a very long detour and charged me double the estimated fare.",38,
38,Uber_Support,False,Tue Oct 10 21:05:00 +0000 2017,"@cust_12 Send us a DM with your trip details and phone number so we can review the route and issue a fare adjustment.",39,37
39,cust_12,True,Tue Oct 10 21:10:00 +0000 2017,"@Uber_Support Sent DM with trip ID 99281.",40,38
40,Uber_Support,False,Tue Oct 10 21:15:00 +0000 2017,"@cust_12 Route reviewed and fare adjusted. Refund of $12.50 issued to your payment method.",,39
41,cust_13,True,Tue Oct 11 08:00:00 +0000 2017,"@AmazonHelp I received the wrong item in my package. I ordered shoes but got a kitchen blender.",42,
42,AmazonHelp,False,Tue Oct 11 08:05:00 +0000 2017,"@cust_13 We apologize for the mix up! DM us your order number so we can send the correct item right away.",43,41
43,cust_13,True,Tue Oct 11 08:10:00 +0000 2017,"@AmazonHelp DM sent with order number 114-009988-12345.",44,42
44,AmazonHelp,False,Tue Oct 11 08:15:00 +0000 2017,"@cust_13 Correct item dispatched! Return label for blender has been sent to your email.",,43
45,cust_14,True,Tue Oct 11 09:00:00 +0000 2017,"@AmazonHelp How do I update my default delivery address on my account?",46,
46,AmazonHelp,False,Tue Oct 11 09:03:00 +0000 2017,"@cust_14 Go to Your Account > Your Addresses to add, edit, or set default delivery addresses.",,45
47,cust_15,True,Tue Oct 11 10:00:00 +0000 2017,"@AmazonHelp I was billed for a gift card that I never received or purchased.",48,
48,AmazonHelp,False,Tue Oct 11 10:05:00 +0000 2017,"@cust_15 Security alert! DM us your email and account details immediately so our payments security team can audit this charge.",49,47
49,cust_15,True,Tue Oct 11 10:10:00 +0000 2017,"@AmazonHelp Sent DM with payment transaction ID.",50,48
50,AmazonHelp,False,Tue Oct 11 10:15:00 +0000 2017,"@cust_15 Transaction cancelled, refund initiated, and security verification required.",,49
